"sep=,"
"","","","","","","DB"
"Date","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","Historical Average"
"'25-Aug","","","10.72","8.41","12.68","9.64","","","16.42","12.5173","25.9007","13.1098"
"'26-Aug","","16.32","","8.11","12.28","9.81","7.07","","","12.4816","26.606","13.1208"
"'27-Aug","","16.48","","","12.42","9.73","7.13","11.73","","","26.8381","13.206"
"'28-Aug","","16.28","10.96","","","9.89","7.16","11.55","16.4","","26.4899","13.1742"
"'29-Aug","","16.24","11.17","8.24","","","7.22","11.66","16.04","12.428","","13.1798"
"'30-Aug","","16.4","11.15","8.41","12.23","","7.25","11.42","16.01","12.8477","","13.2098"
"'31-Aug","","","10.89","8.31","12.35","9.53","","11.26","15.99","13.1691","26.3381","13.1487"
"'01-Sep","","","10.89","8.2","12.5","9.52","","","16.06","13.1155","25.5882","13.0784"
"'02-Sep","","","","8.27","12.45","9.45","","","","13.303","25.8917","13.1225"
"'03-Sep","","15.92","","","12.56","9.29","7.3","","","","26.1239","13.0977"
"'04-Sep","","15.97","","","","9.73","7.48","11.42","","","25.2757","13.0959"
"'05-Sep","","16.61","10.4","","","","7.82","11.47","15.66","","","13.1099"
"'06-Sep","","16.16","10.27","8.23","","","7.85","11.38","15.99","12.9101","","13.0356"
"'07-Sep","","","10.22","8.28","12.8","","","11.13","15.92","12.9816","","13.0347"
"'08-Sep","","","10.33","8.71","12.73","9.41","","","16","13.2048","26.3292","13.1854"
"'09-Sep","","16.63","","8.96","12.72","9.42","8.13","","","13.6244","25.8649","13.2809"
"'10-Sep","","15.86","","","12.72","9.35","8.3","11.11","","","26.106","13.236"
"'11-Sep","","15.67","10.56","","","9.26","8.29","11.24","16.34","","26.0881","13.2753"
"'12-Sep","","15.82","10.57","9.31","","","8.32","11.24","16.98","13.4905","","13.3799"
"'13-Sep","","16.21","10.84","8.98","13.11","","8.45","11.36","16.78","13.0262","","13.4104"
"'14-Sep","","","11.01","8.97","12.85","9.34","","11.4","16.68","12.9637","26.0167","13.389"
"'15-Sep","","","10.93","9.18","13.04","9.1","","","16.54","13.178","26.4542","13.4482"
"'16-Sep","","16.3","","9.09","13.12","9.29","8.23","","","11.9459","26.3024","13.3148"
"'17-Sep","","16.6","","","12.91","9.24","8.19","11.51","","","26.606","13.3562"
"'18-Sep","","16.62","10.73","","","9.09","8.06","11.58","16.57","","25.4007","13.1997"
"'19-Sep","","17.01","10.73","9.15","","","8.07","11.95","16.56","11.5798","","13.2451"
"'20-Sep","","16.92","10.7","8.88","11.96","","7.99","12.25","16.38","11.0888","","13.066"
"'21-Sep","","","10.71","8.6","11.86","8.34","","12.34","16.69","11.3209","25.4542","13.0225"
"'22-Sep","","","10.72","8.87","12.26","8.14","","","16.63","11.6066","24.6507","13.0127"
"'23-Sep","","16.9","","8.34","12.49","8.05","7.79","","","11.3834","24.4096","12.9053"
"'24-Sep","","17.02","","","12.7","8.11","7.58","12.24","","","24.4721","12.9196"
"'25-Sep","","16.92","10.69","","","8","7.58","12.15","16.04","","24.4721","12.8275"
"'26-Sep","","17.36","10.6","8.12","","","7.42","11.9","16.02","10.5799","","12.7172"
"'27-Sep","","17.33","10.9","7.73","13","","7.56","11.81","16.57","10.6424","","12.8014"
"'28-Sep","","","10.94","7.66","12.73","8.43","","11.36","16.98","10.9817","23.4008","12.7373"
"'29-Sep","","","10.99","7.46","12.79","8.27","","","17.28","10.2496","23.6954","12.6985"
"'30-Sep","","17.31","","7.4","12.7","8.4","7.5","","","11.687","24.0704","12.8697"
"'01-Oct","","16.95","","","12.59","8.36","7.25","11.25","","","23.6775","12.7435"
"'02-Oct","","16.99","10.61","","","8.5","7.19","11.13","17.09","","24.2311","12.7418"
"'03-Oct","","16.9","10.37","7.53","","","7.15","11.32","17.07","11.5888","","12.725"
"'04-Oct","","17.42","10.49","8.14","12.34","","7.19","11.2","16.79","11.9013","","12.8202"
"'05-Oct","","","10.54","7.83","12.79","8.7","","11.12","17.22","12.1334","25.1775","13.0121"
"'06-Oct","","","10.7","7.7","12.8","9.01","","","17.21","12.0798","25.356","13.0586"
"'07-Oct","","17.48","","7.67","13.08","9.23","7.09","","","12.178","25.7042","13.1462"
"'08-Oct","","17.39","","","13.22","9.36","6.92","11.05","","","25.3471","13.1045"
"'09-Oct","","17.5","10.55","","","9.28","6.94","11.03","16.87","","26.1953","13.1433"
"'10-Oct","","17.59","10.78","7.75","","","7.13","10.92","16.99","12.4102","","13.2266"
"'11-Oct","","17.77","10.82","7.44","13.16","","7.46","10.83","16.92","12.1602","","13.2036"
"'12-Oct","","","10.6","7.61","13.1","9.34","","10.84","16.7","12.1423","26.0167","13.1579"
"'13-Oct","","","10.42","8.24","12.71","9.11","","","16.58","11.928","25.6953","13.0753"
"'14-Oct","","17.45","","8.32","12.92","9.06","7.55","","","11.9905","25.8024","13.0933"
"'15-Oct","","17.24","","","13.28","9.02","7.78","11.03","","","26.1506","13.1811"
"'16-Oct","","17.53","10.7","","","9.25","7.84","11.16","16.72","","26.4096","13.32"
"'17-Oct","","17.5","10.65","8.41","","","7.9","11.26","16.71","11.9548","","13.3324"
"'18-Oct","","17.64","10.33","8.68","13.29","","7.92","10.97","16.89","12.2495","","13.3629"
"'19-Oct","","","10.23","8.67","13.36","9.28","","10.92","16.87","12.3745","27.0524","13.4317"
"'20-Oct","","","10.11","8.68","13.5","9.6","","","16.98","12.8298","26.8917","13.5072"
